class,track,vehicle,file,template_vehicle,template_status,confidence
GT3,Spa-Francorchamps,Ferrari 296 LMGT3,GT3/Spa-Francorchamps/Ferrari 296 LMGT3 - Spa-Francorchamps - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B
GT3,Spa-Francorchamps,Lamborghini Huracán LMGT3 Evo2,GT3/Spa-Francorchamps/Lamborghini Huracán LMGT3 Evo2 - Spa-Francorchamps - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B
GT3,Spa-Francorchamps,Lexus RC F LMGT3,GT3/Spa-Francorchamps/Lexus RC F LMGT3 - Spa-Francorchamps - Stable.svm,Lexus RC F LMGT3,EXACT,B
GT3,Spa-Francorchamps,Porsche 911 GT3 R LMGT3,GT3/Spa-Francorchamps/Porsche 911 GT3 R LMGT3 - Spa-Francorchamps - Stable.svm,Porsche 911 GT3 R LMGT3,EXACT,B
GT3,Laguna Seca,Ford Mustang LMGT3,GT3/Laguna Seca/Ford Mustang LMGT3 - Laguna Seca - Stable.svm,Ford Mustang LMGT3,EXACT,B
GT3,Laguna Seca,McLaren 720S LMGT3 Evo,GT3/Laguna Seca/McLaren 720S LMGT3 Evo - Laguna Seca - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B
GT3,Laguna Seca,Mercedes-AMG LMGT3,GT3/Laguna Seca/Mercedes-AMG LMGT3 - Laguna Seca - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B
GT3,Laguna Seca,BMW M4 LMGT3 Evo,GT3/Laguna Seca/BMW M4 LMGT3 Evo - Laguna Seca - Stable.svm,BMW M4 LMGT3 Evo,EXACT,B
GT3,Laguna Seca,Aston Martin Vantage AMR LMGT3 Evo,GT3/Laguna Seca/Aston Martin Vantage AMR LMGT3 Evo - Laguna Seca - Stable.svm,Ford Mustang LMGT3,INFERRED_VALIDATE,B
GT3,Laguna Seca,Corvette Z06 LMGT3.R,GT3/Laguna Seca/Corvette Z06 LMGT3.R - Laguna Seca - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B
GT3,Laguna Seca,Ferrari 296 LMGT3,GT3/Laguna Seca/Ferrari 296 LMGT3 - Laguna Seca - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B
GT3,Laguna Seca,Lamborghini Huracán LMGT3 Evo2,GT3/Laguna Seca/Lamborghini Huracán LMGT3 Evo2 - Laguna Seca - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B
GT3,Laguna Seca,Lexus RC F LMGT3,GT3/Laguna Seca/Lexus RC F LMGT3 - Laguna Seca - Stable.svm,Lexus RC F LMGT3,EXACT,B
GT3,Laguna Seca,Porsche 911 GT3 R LMGT3,GT3/Laguna Seca/Porsche 911 GT3 R LMGT3 - Laguna Seca - Stable.svm,Porsche 911 GT3 R LMGT3,EXACT,B
Hypercar,Bahrain,Alpine A424,Hypercar/Bahrain/Alpine A424 - Bahrain - Stable.svm,Alpine A424,EXACT,B
Hypercar,Bahrain,Aston Martin Valkyrie AMR-LMH,Hypercar/Bahrain/Aston Martin Valkyrie AMR-LMH - Bahrain - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,Bahrain,BMW M Hybrid V8,Hypercar/Bahrain/BMW M Hybrid V8 - Bahrain - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,Bahrain,Cadillac V-Series.R,Hypercar/Bahrain/Cadillac V-Series.R - Bahrain - Stable.svm,Cadillac V-Series.R,EXACT,B
Hypercar,Bahrain,Ferrari 499P,Hypercar/Bahrain/Ferrari 499P - Bahrain - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Bahrain,Glickenhaus SCG 007,Hypercar/Bahrain/Glickenhaus SCG 007 - Bahrain - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,Bahrain,Isotta Fraschini Tipo 6,Hypercar/Bahrain/Isotta Fraschini Tipo 6 - Bahrain - Stable.svm,Isotta Fraschini Tipo 6,EXACT,B
Hypercar,Bahrain,Lamborghini SC63,Hypercar/Bahrain/Lamborghini SC63 - Bahrain - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,Bahrain,Peugeot 9X8,Hypercar/Bahrain/Peugeot 9X8 - Bahrain - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Bahrain,Peugeot 9X8 2024,Hypercar/Bahrain/Peugeot 9X8 2024 - Bahrain - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Bahrain,Porsche 963,Hypercar/Bahrain/Porsche 963 - Bahrain - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,Bahrain,Toyota GR010 Hybrid,Hypercar/Bahrain/Toyota GR010 Hybrid - Bahrain - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Bahrain,Vanwall Vandervell 680,Hypercar/Bahrain/Vanwall Vandervell 680 - Bahrain - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,Barcelona-Catalunya,Alpine A424,Hypercar/Barcelona-Catalunya/Alpine A424 - Barcelona-Catalunya - Stable.svm,Alpine A424,EXACT,B
Hypercar,Barcelona-Catalunya,Aston Martin Valkyrie AMR-LMH,Hypercar/Barcelona-Catalunya/Aston Martin Valkyrie AMR-LMH - Barcelona-Catalunya - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,Barcelona-Catalunya,BMW M Hybrid V8,Hypercar/Barcelona-Catalunya/BMW M Hybrid V8 - Barcelona-Catalunya - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,Barcelona-Catalunya,Cadillac V-Series.R,Hypercar/Barcelona-Catalunya/Cadillac V-Series.R - Barcelona-Catalunya - Stable.svm,Cadillac V-Series.R,EXACT,B
Hypercar,Barcelona-Catalunya,Ferrari 499P,Hypercar/Barcelona-Catalunya/Ferrari 499P - Barcelona-Catalunya - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Barcelona-Catalunya,Glickenhaus SCG 007,Hypercar/Barcelona-Catalunya/Glickenhaus SCG 007 - Barcelona-Catalunya - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,Barcelona-Catalunya,Isotta Fraschini Tipo 6,Hypercar/Barcelona-Catalunya/Isotta Fraschini Tipo 6 - Barcelona-Catalunya - Stable.svm,Isotta Fraschini Tipo 6,EXACT,B
Hypercar,Barcelona-Catalunya,Lamborghini SC63,Hypercar/Barcelona-Catalunya/Lamborghini SC63 - Barcelona-Catalunya - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,Barcelona-Catalunya,Peugeot 9X8,Hypercar/Barcelona-Catalunya/Peugeot 9X8 - Barcelona-Catalunya - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Barcelona-Catalunya,Peugeot 9X8 2024,Hypercar/Barcelona-Catalunya/Peugeot 9X8 2024 - Barcelona-Catalunya - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Barcelona-Catalunya,Porsche 963,Hypercar/Barcelona-Catalunya/Porsche 963 - Barcelona-Catalunya - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,Barcelona-Catalunya,Toyota GR010 Hybrid,Hypercar/Barcelona-Catalunya/Toyota GR010 Hybrid - Barcelona-Catalunya - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Barcelona-Catalunya,Vanwall Vandervell 680,Hypercar/Barcelona-Catalunya/Vanwall Vandervell 680 - Barcelona-Catalunya - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,Circuit de la Sarthe,Alpine A424,Hypercar/Circuit de la Sarthe/Alpine A424 - Circuit de la Sarthe - Stable.svm,Alpine A424,EXACT,B
Hypercar,Circuit de la Sarthe,Aston Martin Valkyrie AMR-LMH,Hypercar/Circuit de la Sarthe/Aston Martin Valkyrie AMR-LMH - Circuit de la Sarthe - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,Circuit de la Sarthe,BMW M Hybrid V8,Hypercar/Circuit de la Sarthe/BMW M Hybrid V8 - Circuit de la Sarthe - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,Circuit de la Sarthe,Cadillac V-Series.R,Hypercar/Circuit de la Sarthe/Cadillac V-Series.R - Circuit de la Sarthe - Stable.svm,Cadillac V-Series.R,EXACT,B
Hypercar,Circuit de la Sarthe,Ferrari 499P,Hypercar/Circuit de la Sarthe/Ferrari 499P - Circuit de la Sarthe - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Circuit de la Sarthe,Glickenhaus SCG 007,Hypercar/Circuit de la Sarthe/Glickenhaus SCG 007 - Circuit de la Sarthe - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,Circuit de la Sarthe,Isotta Fraschini Tipo 6,Hypercar/Circuit de la Sarthe/Isotta Fraschini Tipo 6 - Circuit de la Sarthe - Stable.svm,Isotta Fraschini Tipo 6,EXACT,B
Hypercar,Circuit de la Sarthe,Lamborghini SC63,Hypercar/Circuit de la Sarthe/Lamborghini SC63 - Circuit de la Sarthe - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,Circuit de la Sarthe,Peugeot 9X8,Hypercar/Circuit de la Sarthe/Peugeot 9X8 - Circuit de la Sarthe - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Circuit de la Sarthe,Peugeot 9X8 2024,Hypercar/Circuit de la Sarthe/Peugeot 9X8 2024 - Circuit de la Sarthe - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Circuit de la Sarthe,Porsche 963,Hypercar/Circuit de la Sarthe/Porsche 963 - Circuit de la Sarthe - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,Circuit de la Sarthe,Toyota GR010 Hybrid,Hypercar/Circuit de la Sarthe/Toyota GR010 Hybrid - Circuit de la Sarthe - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Circuit de la Sarthe,Vanwall Vandervell 680,Hypercar/Circuit de la Sarthe/Vanwall Vandervell 680 - Circuit de la Sarthe - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,Paul Ricard,Alpine A424,Hypercar/Paul Ricard/Alpine A424 - Paul Ricard - Stable.svm,Alpine A424,EXACT,B
Hypercar,Paul Ricard,Aston Martin Valkyrie AMR-LMH,Hypercar/Paul Ricard/Aston Martin Valkyrie AMR-LMH - Paul Ricard - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,Paul Ricard,BMW M Hybrid V8,Hypercar/Paul Ricard/BMW M Hybrid V8 - Paul Ricard - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,Paul Ricard,Cadillac V-Series.R,Hypercar/Paul Ricard/Cadillac V-Series.R - Paul Ricard - Stable.svm,Cadillac V-Series.R,EXACT,B
Hypercar,Paul Ricard,Ferrari 499P,Hypercar/Paul Ricard/Ferrari 499P - Paul Ricard - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Paul Ricard,Glickenhaus SCG 007,Hypercar/Paul Ricard/Glickenhaus SCG 007 - Paul Ricard - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,Paul Ricard,Isotta Fraschini Tipo 6,Hypercar/Paul Ricard/Isotta Fraschini Tipo 6 - Paul Ricard - Stable.svm,Isotta Fraschini Tipo 6,EXACT,B
Hypercar,Paul Ricard,Lamborghini SC63,Hypercar/Paul Ricard/Lamborghini SC63 - Paul Ricard - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,Paul Ricard,Peugeot 9X8,Hypercar/Paul Ricard/Peugeot 9X8 - Paul Ricard - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Paul Ricard,Peugeot 9X8 2024,Hypercar/Paul Ricard/Peugeot 9X8 2024 - Paul Ricard - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Paul Ricard,Porsche 963,Hypercar/Paul Ricard/Porsche 963 - Paul Ricard - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,Paul Ricard,Toyota GR010 Hybrid,Hypercar/Paul Ricard/Toyota GR010 Hybrid - Paul Ricard - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Paul Ricard,Vanwall Vandervell 680,Hypercar/Paul Ricard/Vanwall Vandervell 680 - Paul Ricard - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,COTA,Alpine A424,Hypercar/COTA/Alpine A424 - COTA - Stable.svm,Alpine A424,EXACT,B
Hypercar,COTA,Aston Martin Valkyrie AMR-LMH,Hypercar/COTA/Aston Martin Valkyrie AMR-LMH - COTA - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,COTA,BMW M Hybrid V8,Hypercar/COTA/BMW M Hybrid V8 - COTA - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,COTA,Cadillac V-Series.R,Hypercar/COTA/Cadillac V-Series.R - COTA - Stable.svm,Cadillac V-Series.R,EXACT,B
Hypercar,COTA,Ferrari 499P,Hypercar/COTA/Ferrari 499P - COTA - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,COTA,Glickenhaus SCG 007,Hypercar/COTA/Glickenhaus SCG 007 - COTA - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,COTA,Isotta Fraschini Tipo 6,Hypercar/COTA/Isotta Fraschini Tipo 6 - COTA - Stable.svm,Isotta Fraschini Tipo 6,EXACT,B
Hypercar,COTA,Lamborghini SC63,Hypercar/COTA/Lamborghini SC63 - COTA - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,COTA,Peugeot 9X8,Hypercar/COTA/Peugeot 9X8 - COTA - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,COTA,Peugeot 9X8 2024,Hypercar/COTA/Peugeot 9X8 2024 - COTA - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,COTA,Porsche 963,Hypercar/COTA/Porsche 963 - COTA - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,COTA,Toyota GR010 Hybrid,Hypercar/COTA/Toyota GR010 Hybrid - COTA - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,COTA,Vanwall Vandervell 680,Hypercar/COTA/Vanwall Vandervell 680 - COTA - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,Daytona,Alpine A424,Hypercar/Daytona/Alpine A424 - Daytona - Stable.svm,Alpine A424,EXACT,B
Hypercar,Daytona,Aston Martin Valkyrie AMR-LMH,Hypercar/Daytona/Aston Martin Valkyrie AMR-LMH - Daytona - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,Daytona,BMW M Hybrid V8,Hypercar/Daytona/BMW M Hybrid V8 - Daytona - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,Daytona,Cadillac V-Series.R,Hypercar/Daytona/Cadillac V-Series.R - Daytona - Stable.svm,Cadillac V-Series.R,EXACT,B
Hypercar,Daytona,Ferrari 499P,Hypercar/Daytona/Ferrari 499P - Daytona - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Daytona,Glickenhaus SCG 007,Hypercar/Daytona/Glickenhaus SCG 007 - Daytona - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,Daytona,Isotta Fraschini Tipo 6,Hypercar/Daytona/Isotta Fraschini Tipo 6 - Daytona - Stable.svm,Isotta Fraschini Tipo 6,EXACT,B
Hypercar,Daytona,Lamborghini SC63,Hypercar/Daytona/Lamborghini SC63 - Daytona - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,Daytona,Peugeot 9X8,Hypercar/Daytona/Peugeot 9X8 - Daytona - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Daytona,Peugeot 9X8 2024,Hypercar/Daytona/Peugeot 9X8 2024 - Daytona - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Daytona,Porsche 963,Hypercar/Daytona/Porsche 963 - Daytona - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,Daytona,Toyota GR010 Hybrid,Hypercar/Daytona/Toyota GR010 Hybrid - Daytona - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Daytona,Vanwall Vandervell 680,Hypercar/Daytona/Vanwall Vandervell 680 - Daytona - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,Fuji,Alpine A424,Hypercar/Fuji/Alpine A424 - Fuji - Stable.svm,Alpine A424,EXACT,B
Hypercar,Fuji,Aston Martin Valkyrie AMR-LMH,Hypercar/Fuji/Aston Martin Valkyrie AMR-LMH - Fuji - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,Fuji,BMW M Hybrid V8,Hypercar/Fuji/BMW M Hybrid V8 - Fuji - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,Fuji,Cadillac V-Series.R,Hypercar/Fuji/Cadillac V-Series.R - Fuji - Stable.svm,Cadillac V-Series.R,EXACT,B
Hypercar,Fuji,Ferrari 499P,Hypercar/Fuji/Ferrari 499P - Fuji - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Fuji,Glickenhaus SCG 007,Hypercar/Fuji/Glickenhaus SCG 007 - Fuji - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,Fuji,Isotta Fraschini Tipo 6,Hypercar/Fuji/Isotta Fraschini Tipo 6 - Fuji - Stable.svm,Isotta Fraschini Tipo 6,EXACT,B
Hypercar,Fuji,Lamborghini SC63,Hypercar/Fuji/Lamborghini SC63 - Fuji - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,Fuji,Peugeot 9X8,Hypercar/Fuji/Peugeot 9X8 - Fuji - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Fuji,Peugeot 9X8 2024,Hypercar/Fuji/Peugeot 9X8 2024 - Fuji - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Fuji,Porsche 963,Hypercar/Fuji/Porsche 963 - Fuji - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,Fuji,Toyota GR010 Hybrid,Hypercar/Fuji/Toyota GR010 Hybrid - Fuji - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Fuji,Vanwall Vandervell 680,Hypercar/Fuji/Vanwall Vandervell 680 - Fuji - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,Imola,Alpine A424,Hypercar/Imola/Alpine A424 - Imola - Stable.svm,Alpine A424,EXACT,B
Hypercar,Imola,Aston Martin Valkyrie AMR-LMH,Hypercar/Imola/Aston Martin Valkyrie AMR-LMH - Imola - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,Imola,BMW M Hybrid V8,Hypercar/Imola/BMW M Hybrid V8 - Imola - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,Imola,Cadillac V-Series.R,Hypercar/Imola/Cadillac V-Series.R - Imola - Stable.svm,Cadillac V-Series.R,EXACT,B
Hypercar,Imola,Ferrari 499P,Hypercar/Imola/Ferrari 499P - Imola - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Imola,Glickenhaus SCG 007,Hypercar/Imola/Glickenhaus SCG 007 - Imola - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,Imola,Isotta Fraschini Tipo 6,Hypercar/Imola/Isotta Fraschini Tipo 6 - Imola - Stable.svm,Isotta Fraschini Tipo 6,EXACT,B
Hypercar,Imola,Lamborghini SC63,Hypercar/Imola/Lamborghini SC63 - Imola - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,Imola,Peugeot 9X8,Hypercar/Imola/Peugeot 9X8 - Imola - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Imola,Peugeot 9X8 2024,Hypercar/Imola/Peugeot 9X8 2024 - Imola - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Imola,Porsche 963,Hypercar/Imola/Porsche 963 - Imola - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,Imola,Toyota GR010 Hybrid,Hypercar/Imola/Toyota GR010 Hybrid - Imola - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Imola,Vanwall Vandervell 680,Hypercar/Imola/Vanwall Vandervell 680 - Imola - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,Interlagos,Alpine A424,Hypercar/Interlagos/Alpine A424 - Interlagos - Stable.svm,Alpine A424,EXACT,B
Hypercar,Interlagos,Aston Martin Valkyrie AMR-LMH,Hypercar/Interlagos/Aston Martin Valkyrie AMR-LMH - Interlagos - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,Interlagos,BMW M Hybrid V8,Hypercar/Interlagos/BMW M Hybrid V8 - Interlagos - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,Interlagos,Cadillac V-Series.R,Hypercar/Interlagos/Cadillac V-Series.R - Interlagos - Stable.svm,Cadillac V-Series.R,EXACT,B
Hypercar,Interlagos,Ferrari 499P,Hypercar/Interlagos/Ferrari 499P - Interlagos - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Interlagos,Glickenhaus SCG 007,Hypercar/Interlagos/Glickenhaus SCG 007 - Interlagos - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,Interlagos,Isotta Fraschini Tipo 6,Hypercar/Interlagos/Isotta Fraschini Tipo 6 - Interlagos - Stable.svm,Isotta Fraschini Tipo 6,EXACT,B
Hypercar,Interlagos,Lamborghini SC63,Hypercar/Interlagos/Lamborghini SC63 - Interlagos - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,Interlagos,Peugeot 9X8,Hypercar/Interlagos/Peugeot 9X8 - Interlagos - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Interlagos,Peugeot 9X8 2024,Hypercar/Interlagos/Peugeot 9X8 2024 - Interlagos - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Interlagos,Porsche 963,Hypercar/Interlagos/Porsche 963 - Interlagos - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,Interlagos,Toyota GR010 Hybrid,Hypercar/Interlagos/Toyota GR010 Hybrid - Interlagos - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Interlagos,Vanwall Vandervell 680,Hypercar/Interlagos/Vanwall Vandervell 680 - Interlagos - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,Lusail,Alpine A424,Hypercar/Lusail/Alpine A424 - Lusail - Stable.svm,Alpine A424,EXACT,B
Hypercar,Lusail,Aston Martin Valkyrie AMR-LMH,Hypercar/Lusail/Aston Martin Valkyrie AMR-LMH - Lusail - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,Lusail,BMW M Hybrid V8,Hypercar/Lusail/BMW M Hybrid V8 - Lusail - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,Lusail,Cadillac V-Series.R,Hypercar/Lusail/Cadillac V-Series.R - Lusail - Stable.svm,Cadillac V-Series.R,EXACT,B
Hypercar,Lusail,Ferrari 499P,Hypercar/Lusail/Ferrari 499P - Lusail - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Lusail,Glickenhaus SCG 007,Hypercar/Lusail/Glickenhaus SCG 007 - Lusail - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,Lusail,Isotta Fraschini Tipo 6,Hypercar/Lusail/Isotta Fraschini Tipo 6 - Lusail - Stable.svm,Isotta Fraschini Tipo 6,EXACT,B
Hypercar,Lusail,Lamborghini SC63,Hypercar/Lusail/Lamborghini SC63 - Lusail - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,Lusail,Peugeot 9X8,Hypercar/Lusail/Peugeot 9X8 - Lusail - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Lusail,Peugeot 9X8 2024,Hypercar/Lusail/Peugeot 9X8 2024 - Lusail - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Lusail,Porsche 963,Hypercar/Lusail/Porsche 963 - Lusail - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,Lusail,Toyota GR010 Hybrid,Hypercar/Lusail/Toyota GR010 Hybrid - Lusail - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Lusail,Vanwall Vandervell 680,Hypercar/Lusail/Vanwall Vandervell 680 - Lusail - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,Monza,Alpine A424,Hypercar/Monza/Alpine A424 - Monza - Stable.svm,Alpine A424,EXACT,B
Hypercar,Monza,Aston Martin Valkyrie AMR-LMH,Hypercar/Monza/Aston Martin Valkyrie AMR-LMH - Monza - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,Monza,BMW M Hybrid V8,Hypercar/Monza/BMW M Hybrid V8 - Monza - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,Monza,Cadillac V-Series.R,Hypercar/Monza/Cadillac V-Series.R - Monza - Stable.svm,Cadillac V-Series.R,EXACT,B
Hypercar,Monza,Ferrari 499P,Hypercar/Monza/Ferrari 499P - Monza - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Monza,Glickenhaus SCG 007,Hypercar/Monza/Glickenhaus SCG 007 - Monza - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
Hypercar,Monza,Isotta Fraschini Tipo 6,Hypercar/Monza/Isotta Fraschini Tipo 6 - Monza - Stable.svm,Isotta Fraschini Tipo 6,EXACT,B
Hypercar,Monza,Lamborghini SC63,Hypercar/Monza/Lamborghini SC63 - Monza - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,Monza,Peugeot 9X8,Hypercar/Monza/Peugeot 9X8 - Monza - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Monza,Peugeot 9X8 2024,Hypercar/Monza/Peugeot 9X8 2024 - Monza - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Monza,Porsche 963,Hypercar/Monza/Porsche 963 - Monza - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B
Hypercar,Monza,Toyota GR010 Hybrid,Hypercar/Monza/Toyota GR010 Hybrid - Monza - Stable.svm,Alpine A424,INFERRED_VALIDATE,B
Hypercar,Monza,Vanwall Vandervell 680,Hypercar/Monza/Vanwall Vandervell 680 - Monza - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B
